Link,Price,Price per m2,Square,Floor,Floors,Rooms,Is Apartment?,Year,Time to metro,Okrug,District
https://www.cian.ru/sale/flat/301636194/,26000000,349087,74.48,6,15,2,False,2015,7,НАО (Новомосковский),Московский поселение
https://www.cian.ru/sale/flat/301635981/,8000000,297398,26.9,6,11,0,True,2018,6,НАО (Новомосковский),Коммунарка поселок
https://www.cian.ru/sale/flat/301635674/,7800000,157576,49.5,3,5,2,False,1982,7,НАО (Новомосковский),Щербинка
https://www.cian.ru/sale/flat/301634983/,11500000,310811,37,12,19,1,False,2016,10,НАО (Новомосковский),Внуковское поселение
https://www.cian.ru/sale/flat/301633436/,12899000,229520,56.2,2,11,2,False,2020,18,НАО (Новомосковский),Десеновское поселение
https://www.cian.ru/sale/flat/301633411/,5500000,197842,27.8,9,14,0,True,2019,13,НАО (Новомосковский),Филимонковское поселение
https://www.cian.ru/sale/flat/301633230/,8600000,204762,42,10,17,1,False,2019,6,НАО (Новомосковский),Коммунарка поселок
https://www.cian.ru/sale/flat/301632858/,10800000,286472,37.7,4,19,1,False,2017,19,НАО (Новомосковский),Внуковское поселение
https://www.cian.ru/sale/flat/301615876/,7500000,345622,21.7,4,17,1,False,2023,16,НАО (Новомосковский),Сосенское поселение
https://www.cian.ru/sale/flat/301615866/,4100000,225275,18.2,1,9,0,True,2022,13,НАО (Новомосковский),Филимонковское поселение
https://www.cian.ru/sale/flat/301615851/,3750000,235849,15.9,1,9,0,True,2022,13,НАО (Новомосковский),Филимонковское поселение
https://www.cian.ru/sale/flat/301615627/,15500000,280289,55.3,7,17,2,False,2022,8,НАО (Новомосковский),Московский
https://www.cian.ru/sale/flat/301615408/,14000000,358974,39,7,25,1,False,2020,16,НАО (Новомосковский),Московский поселение
https://www.cian.ru/sale/flat/301615381/,12500000,435540,28.7,11,21,1,False,2020,6,НАО (Новомосковский),Коммунарка поселок
https://www.cian.ru/sale/flat/301615363/,6900000,250000,27.6,6,16,0,True,2022,18,НАО (Новомосковский),Десеновское поселение
https://www.cian.ru/sale/flat/301615340/,18750000,262973,71.3,22,24,3,False,2016,13,НАО (Новомосковский),Коммунарка поселок
https://www.cian.ru/sale/flat/301615309/,9200000,287500,32,12,17,1,False,2022,19,НАО (Новомосковский),Десеновское поселение
https://www.cian.ru/sale/flat/301614542/,18500000,154167,120,19,21,4,False,2016,10,НАО (Новомосковский),Щербинка
